question,expected_sql
Son 6 ayda şehir bazında toplam ciro nedir? İlk 10’u sırala.,"
            SELECT c.city, SUM(s.amount) AS total_amount
            FROM sales s
            JOIN customers c ON s.customer_id = c.customer_id
            WHERE s.month >= '2024-03'
            GROUP BY c.city
            ORDER BY total_amount DESC
            LIMIT 10;
        "
Segment ve kredi skoruna göre ortalama sepet tutarını göster.,"
            SELECT c.segment, c.credit_tier, 
                   SUM(s.amount) / COUNT(DISTINCT s.customer_id) AS avg_basket
            FROM sales s
            JOIN customers c ON s.customer_id = c.customer_id
            GROUP BY c.segment, c.credit_tier
            LIMIT 1000;
        "
İstanbul’daki müşterilerin aylık ciro trendi nedir?,"
            SELECT s.month, SUM(s.amount) AS total_amount
            FROM sales s
            JOIN customers c ON s.customer_id = c.customer_id
            WHERE c.city = 'Istanbul'
            GROUP BY s.month
            ORDER BY s.month
            LIMIT 1000;
        "
Geliri 100 bin TL üzerindeki müşterilerin ortalama alışveriş sayısı nedir?,"
            SELECT AVG(s.purchases) AS avg_purchases
            FROM sales s
            JOIN customers c ON s.customer_id = c.customer_id
            WHERE c.income > 100000
            LIMIT 1000;
        "
Tier 4 ve 5 müşterilerin segment bazında en çok harcama yaptığı ilk 3 şehri göster.,"
            SELECT c.city, c.segment, SUM(s.amount) AS total_spending
            FROM sales s
            JOIN customers c ON s.customer_id = c.customer_id
            WHERE c.credit_tier IN (4, 5)
            GROUP BY c.city, c.segment
            ORDER BY total_spending DESC
            LIMIT 3;
        "
2023 yılında toplam alışveriş sayısı nedir?,"
            SELECT SUM(s.purchases) AS total_purchases
            FROM sales s
            WHERE s.month LIKE '2023-%'
            LIMIT 1000;
        "
Antalya’daki müşterilerin ortalama geliri ne kadar?,"
            SELECT AVG(income) AS avg_income
            FROM customers
            WHERE city = 'Antalya'
            LIMIT 1000;
        "
Her segmentin toplam harcama tutarı nedir?,"
            SELECT c.segment, SUM(s.amount) AS total_amount
            FROM sales s
            JOIN customers c ON s.customer_id = c.customer_id
            GROUP BY c.segment
            LIMIT 1000;
        "
Aylara göre toplam ciro değişimi nedir?,"
            SELECT s.month, SUM(s.amount) AS total_amount
            FROM sales s
            GROUP BY s.month
            ORDER BY s.month
            LIMIT 1000;
        "
2024 yılında İstanbul'daki toplam alışveriş sayısı kaç?,"
            SELECT SUM(s.purchases) AS total_purchases
            FROM sales s
            JOIN customers c ON s.customer_id = c.customer_id
            WHERE c.city = 'Istanbul' AND s.month LIKE '2024-%'
            LIMIT 1000;
        "
En yüksek ortalama harcamaya sahip 5 şehir nedir?,"
            SELECT c.city, AVG(s.amount) AS avg_spending
            FROM sales s
            JOIN customers c ON s.customer_id = c.customer_id
            GROUP BY c.city
            ORDER BY avg_spending DESC
            LIMIT 5;
        "
Geliri en yüksek 10 müşterinin şehir ve segment bilgisi nedir?,"
            SELECT city, segment, income
            FROM customers
            ORDER BY income DESC
            LIMIT 10;
        "
2024 yılında en çok harcama yapan ilk 5 müşteri kim?,"
            SELECT s.customer_id, SUM(s.amount) AS total_spent
            FROM sales s
            WHERE s.month LIKE '2024-%'
            GROUP BY s.customer_id
            ORDER BY total_spent DESC
            LIMIT 5;
        "
Her şehirde en çok harcama yapan müşteri kim?,"
            SELECT city, customer_id, total_spent
            FROM (
                SELECT c.city, s.customer_id, SUM(s.amount) AS total_spent,
                       ROW_NUMBER() OVER (PARTITION BY c.city ORDER BY SUM(s.amount) DESC) AS rn
                FROM sales s
                JOIN customers c ON s.customer_id = c.customer_id
                GROUP BY c.city, s.customer_id
            ) ranked
            WHERE rn = 1
            LIMIT 1000;
        "
