customer_id,city,segment,credit_tier,income
1,Antalya,Bireysel,1,112417
2,Izmir,Bireysel,2,96543
3,Antalya,Bireysel,4,116192
4,Adana,Bireysel,3,138075
5,Istanbul,Bireysel,1,94146
6,Ankara,Kurumsal,3,94146
7,Adana,Bireysel,4,139480
8,Antalya,Kurumsal,3,119185
9,Bursa,Kurumsal,2,88263
10,Konya,Bireysel,4,113564
11,Ankara,Kurumsal,3,88414
12,Izmir,Bireysel,2,88356
13,Konya,KOBI,1,106049
14,Bursa,Bireysel,3,52167
15,Izmir,Kurumsal,2,56877
16,Istanbul,Kurumsal,3,85942
17,Istanbul,KOBI,1,74679
18,Izmir,Kurumsal,3,107856
19,Konya,KOBI,3,77299
20,Antalya,Bireysel,1,64692
21,Ankara,KOBI,5,136641
22,Konya,Bireysel,4,94355
23,Bursa,KOBI,3,101688
24,Konya,KOBI,2,64381
25,Izmir,Bireysel,4,86390
26,Antalya,Kurumsal,3,102773
27,Adana,Kurumsal,2,71225
28,Antalya,Bireysel,2,109392
29,Bursa,KOBI,5,84984
30,Antalya,Kurumsal,3,92707
31,Antalya,KOBI,4,84957
32,Konya,Bireysel,2,146306
33,Istanbul,KOBI,3,99662
34,Istanbul,Bireysel,5,73557
35,Adana,Kurumsal,2,120563
36,Antalya,KOBI,3,69478
37,Antalya,KOBI,2,105221
38,Ankara,Bireysel,4,51008
39,Adana,KOBI,4,66795
40,Bursa,Kurumsal,3,104921
41,Ankara,Bireysel,3,118461
42,Istanbul,Bireysel,4,104284
43,Ankara,Kurumsal,2,97108
44,Antalya,KOBI,3,92472
45,Bursa,KOBI,3,63036
46,Bursa,Kurumsal,2,82003
47,Adana,Bireysel,4,88484
48,Istanbul,Kurumsal,4,126428
49,Konya,KOBI,4,108590
50,Izmir,Bireysel,2,55923
51,Ankara,KOBI,1,108102
52,Antalya,Kurumsal,2,90372
53,Adana,Bireysel,3,83076
54,Istanbul,Kurumsal,2,115291
55,Antalya,Kurumsal,3,125774
56,Ankara,KOBI,4,123282
57,Adana,Kurumsal,5,79019
58,Adana,KOBI,3,92269
59,Istanbul,KOBI,4,108281
60,Konya,KOBI,2,124388
